,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
1654,146,40733,4.742795672469974,13.004794895897744,Nigeria,Sokoto,Silame,MARAFA WEST,2995.61857,6863,35,611,66.9,194,196,448,279,none,grid,grid,3870
954,250,38729,8.794115619123389,9.100528764796314,Nigeria,Plateau,Bokkos,TOFF,2993.034276,4062,227,565,71.9,151,160,352,209,none,mini-grid,intercon,36750
1139,435,39400,9.598031299988126,8.457591781077769,Nigeria,Plateau,Shendam,AZARA,2993.034276,4733,292,565,70.8,147,188,392,210,mini-grid,mini-grid,intercon,37260
1338,90,34201,4.450468941877033,6.98844538124401,Nigeria,Ogun,Ijebu East,OSUN,2982.547845,5577,597,497,68.0,124,136,312,178,none,none,grid,41620
92,92,10451,9.020765332340208,6.159864048726222,Nigeria,Cross River,Boki,ABO,2982.40498,261,472,877,66.2,261,326,664,361,none,mini-grid,intercon,20970
436,133,31675,7.230697292868702,9.572916385248048,Nigeria,Niger,Pailoro,ISHAU,2973.659211,1195,356,513,67.0,159,216,432,231,mini-grid,mini-grid,intercon,14760
902,198,38586,9.563384049535555,8.427488127895163,Nigeria,Plateau,Shendam,AZARA,2970.509088,3919,292,560,71.3,139,142,336,207,none,mini-grid,intercon,42850
576,273,32240,4.453363760103974,10.430479840570126,Nigeria,Niger,Borgu,DUGGA,2964.051266,1760,313,511,59.3,127,102,232,196,none,mini-grid,intercon,72310
657,354,33103,6.822954831770607,9.801963783157506,Nigeria,Niger,Shiroro,EGWA/GWADA,2959.247293,2623,339,510,63.9,128,156,280,190,none,grid,grid,1060
1334,86,34190,2.743931590525015,6.931986926885001,Nigeria,Ogun,Egbado North,OHUNBE,2956.707879,5566,607,493,69.0,153,186,432,202,mini-grid,mini-grid,intercon,15070
838,134,38423,10.379441812528771,9.428803212752678,Nigeria,Plateau,Kanam,GARGA,2956.430846,3756,218,558,70.4,137,186,384,210,mini-grid,mini-grid,intercon,52640
1224,520,39787,9.04483068986441,9.609397096554517,Nigeria,Plateau,Barikin Ladi,TAFAN,2945.168252,5120,254,556,69.7,141,156,312,199,none,grid,grid,11920
822,118,38391,10.157395671450084,9.313749154104435,Nigeria,Plateau,Wase,BASHAR,2939.536956,3724,218,555,66.4,184,220,480,237,mini-grid,mini-grid,intercon,23460
899,195,38555,8.698538153674107,10.180380365026643,Nigeria,Plateau,Bassa,KASURU,2936.721307,3888,280,554,70.0,134,140,320,192,none,grid,grid,9070
906,202,38605,8.952596577647572,9.604633018923291,Nigeria,Plateau,Barikin Ladi,RAFAN,2919.827417,3938,248,551,67.5,131,140,296,194,none,grid,grid,2730
1779,271,41007,5.326453526979258,13.364974195285273,Nigeria,Sokoto,Gawabawa,CHIMMOLA/KUDU,2915.689072,7137,147,595,76.59999999999998,137,144,408,223,none,mini-grid,intercon,7670
903,199,38588,9.509993243634677,8.423450446876345,Nigeria,Plateau,Shendam,WUSE,2914.19612,3921,292,550,82.4,139,158,464,191,none,mini-grid,intercon,63590
1723,215,40872,6.189167849889098,13.240200180198926,Nigeria,Sokoto,Isa,TIDIBALE,2908.845596,7002,63,594,74.5,147,146,368,210,none,mini-grid,intercon,5320
1595,87,40640,5.203824539839212,12.778606645476124,Nigeria,Sokoto,Bodinga,DANCHADI,2907.999459,6770,128,593,65.5,181,186,408,246,none,grid,grid,10820
923,219,38649,8.66938168636521,10.105422416472983,Nigeria,Plateau,Bassa,KISHIKA,2902.933526,3982,247,548,79.79999999999998,139,140,512,193,none,grid,grid,18020
1534,26,40480,4.64457522522198,12.21310199659824,Nigeria,Sokoto,Tambuwal,ROMON SARKI,2891.11807,6610,90,590,69.8,140,152,328,213,none,none,grid,11220
750,46,38243,9.759725348536586,8.69519558908453,Nigeria,Plateau,Langtang South,MABUDI,2886.039635,3576,292,545,51.2,135,110,248,204,none,mini-grid,intercon,6260
1759,251,40958,6.687239710788657,13.328000901615956,Nigeria,Sokoto,Isa,YANFAKO,2880.937117,7088,74,588,84.29999999999998,136,152,512,204,none,mini-grid,intercon,38250
737,33,38229,9.802021765471093,8.646682051024328,Nigeria,Plateau,Langtang South,GAMAKAI,2869.145745,3562,188,541,78.79999999999998,134,168,408,191,none,mini-grid,intercon,12700
1494,246,35064,2.995578292713244,7.042186914604666,Nigeria,Ogun,Egbado North,IBESE,2862.979387,6440,614,477,62.3,145,164,320,188,none,grid,grid,4680
59,59,10375,8.365444580025901,5.890794232512967,Nigeria,Cross River,Obubra,IYAMOYONG,2862.048658,185,543,842,73.0,248,346,744,349,mini-grid,mini-grid,intercon,12960
730,26,38220,9.54119899379101,8.59910618037275,Nigeria,Plateau,Shendam,SHIMANKAR,2860.6988,3553,288,540,69.2,130,148,296,196,none,mini-grid,intercon,32810
1606,98,40653,5.019900210714892,12.827078093544833,Nigeria,Sokoto,Yabo,KILGORI,2860.085943,6783,111,584,72.2,154,160,344,201,mini-grid,mini-grid,intercon,9720
101,101,10468,9.050314326880002,6.268726050753525,Nigeria,Cross River,Boki,BOJE,2859.484928,278,474,841,66.2,249,316,592,352,none,grid,grid,17140
643,340,32774,5.246598110643363,10.26131365092898,Nigeria,Niger,Mashegu,KABOJI,2858.363862,2294,362,493,72.0,114,126,304,170,none,grid,grid,4200
957,253,38737,9.076943979517758,9.847846559539851,Nigeria,Plateau,Jos East,FEDERE,2857.883151,4070,260,539,70.4,129,146,336,201,none,grid,grid,2050
502,199,31903,4.946386255996663,10.186520886451346,Nigeria,Niger,Mashegu,AUNA SOUTH EAST,2856.274001,1423,400,492,71.1,117,130,304,185,mini-grid,mini-grid,intercon,11480
