,Unnamed: 0,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m,demand_cat_4,demand_cat_2
0,1654,146,40733,4.742795672,13.0047949,Nigeria,Sokoto,Silame,MARAFA WEST,2995.61857,6863,35,611,66.9,194,196,448,279,none,grid,grid,3870,4,1
1,954,250,38729,8.794115619,9.100528765,Nigeria,Plateau,Bokkos,TOFF,2993.034276,4062,227,565,71.9,151,160,352,209,none,mini-grid,intercon,36750,4,1
2,1139,435,39400,9.5980313,8.457591781,Nigeria,Plateau,Shendam,AZARA,2993.034276,4733,292,565,70.8,147,188,392,210,mini-grid,mini-grid,intercon,37260,4,1
3,1338,90,34201,4.450468942,6.988445381,Nigeria,Ogun,Ijebu East,OSUN,2982.547845,5577,597,497,68,124,136,312,178,none,none,grid,41620,3,1
4,92,92,10451,9.020765332,6.159864049,Nigeria,Cross River,Boki,ABO,2982.40498,261,472,877,66.2,261,326,664,361,none,mini-grid,intercon,20970,4,1
5,436,133,31675,7.230697293,9.572916385,Nigeria,Niger,Pailoro,ISHAU,2973.659211,1195,356,513,67,159,216,432,231,mini-grid,mini-grid,intercon,14760,4,1
6,902,198,38586,9.56338405,8.427488128,Nigeria,Plateau,Shendam,AZARA,2970.509088,3919,292,560,71.3,139,142,336,207,none,mini-grid,intercon,42850,4,1
7,576,273,32240,4.45336376,10.43047984,Nigeria,Niger,Borgu,DUGGA,2964.051266,1760,313,511,59.3,127,102,232,196,none,mini-grid,intercon,72310,3,1
8,657,354,33103,6.822954832,9.801963783,Nigeria,Niger,Shiroro,EGWA/GWADA,2959.247293,2623,339,510,63.9,128,156,280,190,none,grid,grid,1060,3,1
9,1334,86,34190,2.743931591,6.931986927,Nigeria,Ogun,Egbado North,OHUNBE,2956.707879,5566,607,493,69,153,186,432,202,mini-grid,mini-grid,intercon,15070,4,1
10,838,134,38423,10.37944181,9.428803213,Nigeria,Plateau,Kanam,GARGA,2956.430846,3756,218,558,70.4,137,186,384,210,mini-grid,mini-grid,intercon,52640,4,1
11,1224,520,39787,9.04483069,9.609397097,Nigeria,Plateau,Barikin Ladi,TAFAN,2945.168252,5120,254,556,69.7,141,156,312,199,none,grid,grid,11920,3,1
12,822,118,38391,10.15739567,9.313749154,Nigeria,Plateau,Wase,BASHAR,2939.536956,3724,218,555,66.4,184,220,480,237,mini-grid,mini-grid,intercon,23460,4,1
13,899,195,38555,8.698538154,10.18038037,Nigeria,Plateau,Bassa,KASURU,2936.721307,3888,280,554,70,134,140,320,192,none,grid,grid,9070,3,1
14,906,202,38605,8.952596578,9.604633019,Nigeria,Plateau,Barikin Ladi,RAFAN,2919.827417,3938,248,551,67.5,131,140,296,194,none,grid,grid,2730,3,1
15,1779,271,41007,5.326453527,13.3649742,Nigeria,Sokoto,Gawabawa,CHIMMOLA/KUDU,2915.689072,7137,147,595,76.6,137,144,408,223,none,mini-grid,intercon,7670,4,1
16,903,199,38588,9.509993244,8.423450447,Nigeria,Plateau,Shendam,WUSE,2914.19612,3921,292,550,82.4,139,158,464,191,none,mini-grid,intercon,63590,3,1
17,1723,215,40872,6.18916785,13.24020018,Nigeria,Sokoto,Isa,TIDIBALE,2908.845596,7002,63,594,74.5,147,146,368,210,none,mini-grid,intercon,5320,4,1
18,1595,87,40640,5.20382454,12.77860665,Nigeria,Sokoto,Bodinga,DANCHADI,2907.999459,6770,128,593,65.5,181,186,408,246,none,grid,grid,10820,4,1
19,923,219,38649,8.669381686,10.10542242,Nigeria,Plateau,Bassa,KISHIKA,2902.933526,3982,247,548,79.8,139,140,512,193,none,grid,grid,18020,3,1
20,1534,26,40480,4.644575225,12.213102,Nigeria,Sokoto,Tambuwal,ROMON SARKI,2891.11807,6610,90,590,69.8,140,152,328,213,none,none,grid,11220,4,1
21,750,46,38243,9.759725349,8.695195589,Nigeria,Plateau,Langtang South,MABUDI,2886.039635,3576,292,545,51.2,135,110,248,204,none,mini-grid,intercon,6260,4,1
