Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
31301,6.660607915246574,8.346672202026514,Nigeria,Niger,Lapai,MUYE/EGBA,8185.9697850000,821,451,1411,66.599999999999994,336,416,776,506,mini-grid,mini-grid,intercon,47370
31304,6.726763121762446,8.440295645221527,Nigeria,Niger,Lapai,GUPA/ABUGI,4549.3623160000,824,451,784,69.599999999999994,212,252,496,295,mini-grid,mini-grid,intercon,51610
31305,6.589354730535957,8.444252237210744,Nigeria,Niger,Lapai,EBBO/GBACINKU,19158.2438300000,825,451,3303,67.700000000000003,893,922,1824,1226,mini-grid,mini-grid,intercon,33850
31306,6.687604203866266,8.55366834038151,Nigeria,Niger,Lapai,EVUTI/KPADA,1926.3931240000,826,453,332,64.799999999999997,104,112,224,140,none,none,grid,41560
31307,6.624900127878248,8.56533541197167,Nigeria,Niger,Lapai,EVUTI/KPADA,1513.2438100000,827,453,261,61.899999999999999,99,122,232,129,none,none,grid,34710
31308,6.56785161468685,8.564247014122936,Nigeria,Niger,Lapai,GULU/ANGUWA VATSA,1205.7971920000,828,453,208,64.599999999999994,80,94,208,99,none,none,grid,25500
31309,6.421178131162906,8.61471549708547,Nigeria,Niger,Agaie,BARO,4755.9331490000,829,451,820,52.600000000000001,260,260,416,340,none,none,grid,3370
31310,6.617158717969734,8.61789657638386,Nigeria,Niger,Lapai,GULU/ANGUWA VATSA,1354.7203510000,830,453,234,69.200000000000003,57,64,136,83,none,mini-grid,intercon,27770
31311,6.684656127099458,8.623709734342007,Nigeria,Niger,Lapai,EVUTI/KPADA,6831.2494330000,831,453,1178,68.000000000000000,303,336,680,410,mini-grid,mini-grid,intercon,37350
31313,6.589740346147131,8.66149472132267,Nigeria,Niger,Lapai,GULU/ANGUWA VATSA,12250.1308400000,833,453,2112,69.299999999999997,631,822,1792,866,mini-grid,mini-grid,intercon,20540
31315,6.41985079180845,8.698683193985957,Nigeria,Niger,Agaie,BARO,1868.7454490000,835,449,322,78.799999999999997,83,130,320,120,none,grid,grid,3990
31316,6.513392591236212,8.71975095827387,Nigeria,Niger,Agaie,TAGAGI,9055.4888760000,836,447,1561,67.099999999999994,376,406,904,584,mini-grid,intercon,intercon,15840
31318,6.450105439940241,8.748668337768523,Nigeria,Niger,Agaie,TAGAGI,1310.5338060000,838,449,226,77.299999999999997,74,86,248,99,none,grid,grid,10630
31321,6.498265610687331,8.788448797530153,Nigeria,Niger,Agaie,TAGAGI,1928.1419150000,841,447,332,64.799999999999997,107,110,224,142,none,grid,grid,20070
31323,5.941762189503335,8.815423513104239,Nigeria,Niger,Edati,MAMBE,888.7349825000,843,394,153,67.500000000000000,57,88,160,69,none,grid,grid,10970
31325,6.263441037117468,8.831897721611426,Nigeria,Niger,Katcha,EDOTSU,2075.7284590000,845,438,358,68.400000000000006,106,130,280,151,none,grid,grid,1430
31326,5.8139263408749,8.827627549105822,Nigeria,Niger,Edati,GAZHE  I,1662.7532560000,846,386,287,70.900000000000006,76,114,224,115,none,mini-grid,intercon,31750
31328,5.898848211334272,8.829028098443974,Nigeria,Niger,Edati,MAMBE,1191.3852730000,848,394,205,67.000000000000000,70,104,200,95,none,grid,grid,13520
31329,6.308485630497616,8.841603193582339,Nigeria,Niger,Katcha,EDOTSU,1152.9534900000,849,440,199,65.400000000000006,63,70,136,80,none,none,grid,4200
31332,6.700798663559443,8.849592207354432,Nigeria,Niger,Lapai,BIRNIN MAZA/TASHIBO,1181.7773280000,852,328,204,68.000000000000000,78,142,264,101,mini-grid,mini-grid,intercon,30300
31335,6.234010872363447,8.857835504628145,Nigeria,Niger,Katcha,GBAKOGI,2017.6686090000,855,432,348,75.200000000000003,84,110,232,118,none,grid,grid,2660
31339,6.455575204128716,8.873911280414845,Nigeria,Niger,Agaie,MAGAJI,1815.2096220000,859,447,313,67.700000000000003,75,80,168,112,none,grid,grid,9480
31343,6.184301506816934,8.876885714817545,Nigeria,Niger,Katcha,GBAKOGI,2546.1056250000,863,421,439,72.099999999999994,111,120,280,156,none,grid,grid,5850
31345,5.781617224665631,8.882086656625347,Nigeria,Niger,Mokwa,GBARA,1162.5614360000,865,386,200,69.599999999999994,64,78,160,86,none,none,grid,20680
31347,6.622422475852031,8.889732354109507,Nigeria,Niger,Lapai,GURDI/ZAGO,2738.2645400000,867,328,472,72.400000000000006,113,130,304,171,mini-grid,mini-grid,intercon,20650
31351,6.154230896231696,8.892600149584307,Nigeria,Niger,Katcha,GBAKOGI,1854.3335310000,871,420,320,80.700000000000003,85,124,360,127,none,none,grid,8020
31352,6.325920488199953,8.901888188825849,Nigeria,Niger,Agaie,DAUACI,3483.4632260000,872,443,601,67.200000000000003,147,168,320,209,none,none,grid,7270
31355,5.879529287299919,8.900633777937252,Nigeria,Niger,Edati,MAMBE,2056.1003920000,875,391,355,67.000000000000000,83,96,184,127,none,none,grid,9530
