Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
33973,4.52233145463742,6.381583576492652,Nigeria,Ogun,Ogun waterside,MAKUN/IROKUN,1942.7360130000,5349,694,324,67.700000000000003,78,84,176,111,none,none,grid,56060
33976,4.518435963809003,6.417111802227232,Nigeria,Ogun,Ogun waterside,MAHIN 1V,9010.7163770000,5352,694,1502,68.000000000000000,459,550,1216,638,mini-grid,mini-grid,intercon,51540
33977,4.411054693884806,6.442363892615251,Nigeria,Ogun,Ogun waterside,MAKUN/IROKUN,5218.9728420000,5353,694,870,69.500000000000000,219,236,504,370,none,mini-grid,intercon,39360
33979,3.220890596519444,6.606705053829414,Nigeria,Ogun,Ado-Odo/Ota,IJU,6558.1647610000,5355,645,1093,64.000000000000000,416,518,1040,579,mini-grid,intercon,intercon,14330
33980,4.543745276849937,6.45856130639036,Nigeria,Ogun,Ogun waterside,AYILA/ITEBU,4183.6990460000,5356,694,697,66.400000000000006,216,250,496,312,none,mini-grid,intercon,53930
33982,2.844016493551983,6.466018324862978,Nigeria,Ogun,Ipokia,MAUNI I,3732.0981300000,5358,629,622,67.000000000000000,237,296,680,307,mini-grid,mini-grid,intercon,9580
33983,2.745341545820118,6.467692548546136,Nigeria,Ogun,Ipokia,AGADA,2006.6418030000,5359,629,334,70.700000000000003,141,194,464,167,mini-grid,mini-grid,intercon,11850
33984,4.418907678148037,6.490255119176378,Nigeria,Ogun,Ogun waterside,EFIRE,7157.4484690000,5360,694,1193,67.099999999999994,280,320,600,454,mini-grid,mini-grid,intercon,33770
33985,3.02925200600982,6.503608888124456,Nigeria,Ogun,Ado-Odo/Ota,ILOGBO-ARAROMI,8316.2734600000,5361,617,1386,62.399999999999999,586,700,1432,693,mini-grid,mini-grid,intercon,9900
33986,2.787693454810224,6.485109620842078,Nigeria,Ogun,Ipokia,AGADA,5138.0255080000,5362,629,856,57.500000000000000,256,254,600,361,mini-grid,mini-grid,intercon,6350
33988,2.873999944745271,6.49129592857598,Nigeria,Ogun,Ipokia,MAUNI II,1367.5839040000,5364,629,228,58.200000000000003,89,110,216,111,none,none,grid,7790
33989,4.554667998660524,6.509558033712302,Nigeria,Ogun,Ogun waterside,AYILA/ITEBU,1150.2482010000,5365,694,192,60.899999999999999,58,64,136,81,none,none,grid,53850
33994,4.459166834099739,6.526117285905661,Nigeria,Ogun,Ogun waterside,EFIRE,2679.7827900000,5370,694,447,66.799999999999997,107,134,272,156,none,mini-grid,intercon,36310
33995,2.726660571659172,6.511215194886481,Nigeria,Ogun,Ipokia,IJOFIN/IDOSA,2684.0431760000,5371,594,447,54.799999999999997,183,168,400,219,mini-grid,intercon,intercon,7680
33996,4.392260487103358,6.529586525006173,Nigeria,Ogun,Ogun waterside,LUKOGBE/ILUSIN,8525.0323730000,5372,694,1421,64.200000000000003,462,562,1056,592,mini-grid,mini-grid,intercon,28630
33998,4.515012334058515,6.532779591574337,Nigeria,Ogun,Ogun waterside,AYESAN,1103.0739110000,5374,694,184,48.799999999999997,79,86,160,105,mini-grid,mini-grid,intercon,45790
33999,4.236769748176212,6.532426583734084,Nigeria,Ogun,Ogun waterside,ONI,7063.7199770000,5375,694,1177,65.000000000000000,289,310,640,400,mini-grid,mini-grid,intercon,6050
34000,4.342553077876449,6.547354996319901,Nigeria,Ogun,Ogun waterside,LUKOGBE/ILUSIN,10633.9234400000,5376,694,1772,62.100000000000001,669,884,1792,863,mini-grid,mini-grid,intercon,19150
34002,3.182636871282174,6.532521651238629,Nigeria,Ogun,Ado-Odo/Ota,AGBARA/EJILA AWORI,2062.2768290000,5378,647,344,48.899999999999999,133,122,216,171,none,grid,grid,6720
34006,4.5657231885687,6.559989647858867,Nigeria,Ogun,Ogun waterside,AYILA/ITEBU,6488.5678680000,5382,694,1081,62.500000000000000,337,378,800,445,mini-grid,mini-grid,intercon,50920
34007,4.410434394168231,6.55812941066713,Nigeria,Ogun,Ogun waterside,LUKOGBE/ILUSIN,2138.1714660000,5383,694,356,64.200000000000003,88,104,200,128,none,mini-grid,intercon,32530
34010,2.875903496073323,6.549015791535465,Nigeria,Ogun,Ipokia,IPOKIA  II,1661.5505370000,5386,602,277,62.100000000000001,84,98,192,120,none,none,grid,6700
34013,3.196799826670941,6.553690597364102,Nigeria,Ogun,Ado-Odo/Ota,AGBARA/EJILA AWORI,1367.5839040000,5389,645,228,65.500000000000000,90,110,288,108,none,grid,grid,6440
34015,3.184564319658263,6.582185493187055,Nigeria,Ogun,Ado-Odo/Ota,IJU,3116.4933540000,5391,645,519,71.099999999999994,220,262,832,263,none,grid,grid,5980
34019,3.160553461359368,6.60439266237433,Nigeria,Ogun,Ado-Odo/Ota,IJU,2609.8723480000,5395,646,435,60.200000000000003,186,206,424,213,none,mini-grid,intercon,10130
34020,4.551066437425127,6.613048717875152,Nigeria,Ogun,Ogun waterside,AYEDE/LOMIRO,2202.6195580000,5396,694,367,64.500000000000000,96,108,200,127,none,none,grid,56250
34021,4.122018510953379,6.625824575358047,Nigeria,Ogun,Ijebu East,IMOBI  II,1367.5839040000,5397,692,228,67.900000000000006,53,68,136,85,none,none,grid,6920
