Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
38180,9.689118663872872,8.385761901005804,Nigeria,Plateau,Shendam,SARKIN KUDU II,2151.1553960000,3513,292,406,72.299999999999997,94,110,256,159,none,none,grid,42840
38182,9.687314064469348,8.416802219868016,Nigeria,Plateau,Shendam,MOEKAT,1858.3279600000,3515,292,351,49.100000000000001,87,54,104,122,none,none,grid,39420
38183,9.732994617264097,8.421257372696219,Nigeria,Plateau,Langtang South,MAGAMA,3733.5498120000,3516,292,704,67.700000000000003,181,192,360,250,none,mini-grid,intercon,39490
38185,9.691715273329063,8.447882711200592,Nigeria,Plateau,Shendam,MOEKAT,11856.6955100000,3518,292,2237,69.799999999999997,530,618,1328,823,mini-grid,mini-grid,intercon,35730
38187,9.673396954108417,8.471810793060849,Nigeria,Plateau,Shendam,KURUNGBAU (B),4245.9978250000,3520,292,801,49.899999999999999,318,248,552,422,mini-grid,mini-grid,intercon,32250
38189,9.729006906642143,8.487523334287689,Nigeria,Plateau,Langtang South,MAGAMA,10623.4415000000,3522,292,2004,69.799999999999997,503,560,1208,697,mini-grid,mini-grid,intercon,30050
38191,9.206121975817174,8.490037949571388,Nigeria,Plateau,'Qua''an Pan',KWANDE,1086.8402920000,3524,0,205,68.200000000000003,51,54,112,70,none,none,mini-grid,62650
38194,9.612395389652288,8.500158643431687,Nigeria,Plateau,Shendam,MOEKAT,1537.6861900000,3527,292,290,70.400000000000006,68,80,168,110,none,none,grid,32420
38195,9.464501226866588,8.508907024056798,Nigeria,Plateau,Shendam,WUSE,2196.2057710000,3528,292,414,74.500000000000000,101,118,272,141,none,none,grid,54120
38198,9.659963810560594,8.524325919511698,Nigeria,Plateau,Shendam,KURUNGBAU (B),1027.7116750000,3531,292,194,68.000000000000000,81,98,216,98,none,none,grid,26290
38199,9.369941035638575,8.526742705913611,Nigeria,Plateau,Shendam,KWANDE,1903.3783350000,3532,253,359,72.000000000000000,90,102,216,133,none,none,grid,51020
38200,9.951757512126658,8.526387620181641,Nigeria,Plateau,Langtang South,TIMBOL,2055.4233500000,3533,189,388,68.599999999999994,95,100,216,137,none,none,grid,35290
38201,9.818843199701659,8.532181188671043,Nigeria,Plateau,Langtang South,TIMBOL,4240.3665280000,3534,188,800,75.400000000000006,214,232,560,307,mini-grid,mini-grid,intercon,25530
38203,9.003804968997166,8.536678582540132,Nigeria,Plateau,'Qua''an Pan',NAMU,1126.2593700000,3536,253,213,69.900000000000006,87,176,328,110,mini-grid,mini-grid,intercon,56560
38204,9.614842109793878,8.536804575959776,Nigeria,Plateau,Shendam,MOEKAT,1534.5283910000,3537,292,290,72.900000000000006,74,82,192,108,none,none,grid,30910
38205,9.70555444023887,8.539815568534207,Nigeria,Plateau,Langtang South,MAGAMA,2852.2518540000,3538,292,538,68.000000000000000,126,136,312,190,none,mini-grid,intercon,22410
38206,9.684093420698268,8.54524292980301,Nigeria,Plateau,Langtang South,MAGAMA,4251.6291220000,3539,292,802,72.400000000000006,193,220,512,275,none,mini-grid,intercon,22740
38208,9.136428009715488,8.55083902646102,Nigeria,Plateau,'Qua''an Pan',NAMU,3426.6441330000,3541,253,647,74.200000000000003,162,204,528,230,mini-grid,mini-grid,intercon,52880
38209,9.773174096537119,8.55274633143538,Nigeria,Plateau,Langtang South,TIMBOL,1106.5498310000,3542,188,209,72.299999999999997,51,60,136,72,none,none,grid,24150
38210,9.646280361470728,8.563970656148545,Nigeria,Plateau,Shendam,KURUNGBAU (B),1489.4780170000,3543,292,281,64.099999999999994,90,96,192,120,none,none,grid,28240
38212,9.560421882820307,8.576687826285429,Nigeria,Plateau,Shendam,SHIMANKAR,4251.6291220000,3545,288,802,66.700000000000003,240,288,688,327,mini-grid,mini-grid,intercon,36110
38213,9.705255977388724,8.571607961516836,Nigeria,Plateau,Langtang South,TURAKI,1435.9806960000,3546,292,271,68.200000000000003,71,68,152,104,none,none,grid,18770
38215,9.850755636669209,8.579612943197757,Nigeria,Plateau,Langtang South,GAMAKAI,2767.7824020000,3548,188,522,71.799999999999997,135,142,344,186,mini-grid,mini-grid,intercon,21490
38216,9.267434535836683,8.583137181297095,Nigeria,Plateau,'Qua''an Pan',KWANDE,1514.8188520000,3549,253,286,70.400000000000006,73,82,168,99,none,none,grid,41880
38217,9.629021098174402,8.584563246185951,Nigeria,Plateau,Shendam,KURUNGBAU (B),3018.3751110000,3550,292,570,69.400000000000006,138,154,328,208,none,mini-grid,intercon,31410
38218,9.40693794436813,8.594812917512938,Nigeria,Plateau,Shendam,KWANDE,2173.6805840000,3551,253,410,67.400000000000006,133,182,368,179,mini-grid,mini-grid,intercon,42250
38220,9.54119899379101,8.59910618037275,Nigeria,Plateau,Shendam,SHIMANKAR,2860.6988000000,3553,288,540,69.200000000000003,130,148,296,196,none,mini-grid,intercon,32810
38221,9.706338007893772,8.606679648066519,Nigeria,Plateau,Langtang South,TURAKI,3291.4930090000,3554,292,621,66.599999999999994,160,154,328,217,none,mini-grid,intercon,14770
38222,9.982475753643755,8.626230505453773,Nigeria,Plateau,Langtang South,FAJUL,8691.9066890000,3555,189,1640,70.900000000000006,414,524,1096,648,mini-grid,mini-grid,intercon,28060
38223,9.52436512176069,8.623349068360545,Nigeria,Plateau,Shendam,SHIMANKAR,9243.7737800000,3556,288,1744,68.599999999999994,534,654,1408,730,mini-grid,mini-grid,intercon,29680
38224,9.292464373591613,8.616240546731822,Nigeria,Plateau,'Qua''an Pan',KWANDE,10933.1628300000,3557,253,2063,67.599999999999994,775,1018,2352,1054,mini-grid,mini-grid,intercon,37060
38225,9.728497013468409,8.619948763428775,Nigeria,Plateau,Langtang South,TURAKI,2393.3011610000,3558,292,452,65.799999999999997,112,142,280,164,none,mini-grid,intercon,14930
38228,9.7165549337115,8.635340203385864,Nigeria,Plateau,Langtang South,TURAKI,3043.7159470000,3561,292,574,72.799999999999997,148,196,424,213,mini-grid,mini-grid,intercon,12450
38229,9.802021765471093,8.646682051024328,Nigeria,Plateau,Langtang South,GAMAKAI,2869.1457450000,3562,188,541,78.799999999999997,134,168,408,191,none,mini-grid,intercon,12700
38230,8.981502691276585,8.645636591582493,Nigeria,Plateau,'Qua''an Pan',NAMU,1638.7073830000,3563,253,309,68.099999999999994,88,88,184,115,none,mini-grid,intercon,51930
