Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
40416,4.480781434480297,11.627703318688072,Nigeria,Sokoto,Kebbe,FAKKU,1822.4950250000,6546,90,372,63.600000000000001,88,94,192,131,none,none,grid,73650
40419,4.512086389071675,11.634715470453747,Nigeria,Sokoto,Kebbe,FAKKU,899.0205630000,6549,90,183,63.600000000000001,60,64,128,75,none,none,grid,73030
40421,4.494349452136301,11.652817148462033,Nigeria,Sokoto,Kebbe,FAKKU,2330.2731550000,6551,90,476,78.500000000000000,110,142,440,170,none,mini-grid,intercon,70210
40422,4.510914984924566,11.655495014658271,Nigeria,Sokoto,Kebbe,FAKKU,1317.2319810000,6552,90,269,66.700000000000003,63,78,152,93,none,none,grid,71760
40426,4.4654013580461,11.66732417058693,Nigeria,Sokoto,Kebbe,FAKKU,1009.2668790000,6556,90,206,69.900000000000006,50,58,128,71,none,none,grid,69810
40431,4.481345507134022,11.70391782084098,Nigeria,Sokoto,Kebbe,KUCHI,8997.2812980000,6561,90,1836,66.099999999999994,540,722,1544,753,mini-grid,mini-grid,intercon,64140
40433,4.432726001399501,11.713477299373681,Nigeria,Sokoto,Kebbe,LIBA/DANWA/KUKA KOGO,1066.8850360000,6563,90,218,69.299999999999997,57,62,144,75,none,none,grid,65430
40435,4.470572949261711,11.736731990474913,Nigeria,Sokoto,Kebbe,LIBA/DANWA/KUKA KOGO,2196.3235920000,6565,90,448,60.299999999999997,152,140,328,210,mini-grid,mini-grid,intercon,60160
40438,4.810765220704872,11.771977422737336,Nigeria,Sokoto,Kebbe,SANGI,1145.0849120000,6568,-,234,63.100000000000001,65,94,168,90,none,mini-grid,mini-grid,49690
40440,4.54460419183261,11.805715017348678,Nigeria,Sokoto,Kebbe,ANDARAI/ KURUNKWU/ ZONGUN LIBA,934.8276049000,6570,90,191,73.299999999999997,51,54,136,66,none,none,grid,47750
40441,4.892227684342299,11.839012889836789,Nigeria,Sokoto,Kebbe,SANGI,2604.5623710000,6571,-,532,66.799999999999997,128,128,272,183,mini-grid,mini-grid,mini-grid,46590
40447,4.877806497369222,12.080944361151078,Nigeria,Sokoto,Kebbe,GAYARI,1592.9875010000,6577,46,325,74.500000000000000,79,86,216,119,none,mini-grid,intercon,18680
40448,4.571851467799381,12.070217373695757,Nigeria,Sokoto,Kebbe,JANDUTSI/BIRNIN MALAM,1865.7413820000,6578,90,381,73.000000000000000,99,96,256,150,none,mini-grid,intercon,28400
40449,4.558620576720113,12.087136234975745,Nigeria,Sokoto,Kebbe,ALELU/GEHURU,1151.2329030000,6579,90,235,70.500000000000000,54,60,136,82,none,none,grid,29900
40451,4.845981387890863,12.093613169336695,Nigeria,Sokoto,Kebbe,GIRKAU,1358.4793040000,6581,46,277,74.799999999999997,86,102,264,117,none,none,grid,15230
40455,4.902540027728605,12.123762113296275,Nigeria,Sokoto,Kebbe,GAYARI,5830.2955430000,6585,46,1190,71.799999999999997,300,316,712,451,mini-grid,mini-grid,intercon,20460
40459,4.696255276755737,12.131581439930276,Nigeria,Sokoto,Kebbe,KEBBE WEST,1317.7908890000,6589,90,269,68.500000000000000,66,68,144,94,none,none,grid,5320
40460,4.559422923250622,12.140404482741966,Nigeria,Sokoto,Tambuwal,BAKAYA/SABON BIRNI,1230.2192270000,6590,90,251,71.000000000000000,61,66,144,93,none,mini-grid,intercon,22290
40461,4.817118969741451,12.140304313294624,Nigeria,Sokoto,Kebbe,GIRKAU,1364.1112420000,6591,46,278,79.299999999999997,73,84,224,109,none,mini-grid,intercon,8550
40464,4.832129465811517,12.151798884154436,Nigeria,Sokoto,Kebbe,MARGAI - A,2113.2720350000,6594,46,431,60.799999999999997,108,88,208,158,none,mini-grid,intercon,11910
40466,4.893849847611561,12.153739794964061,Nigeria,Sokoto,Kebbe,GAYARI,2365.0157950000,6596,46,483,72.099999999999994,115,124,304,171,none,none,grid,17940
40467,4.676557792577384,12.152547891804243,Nigeria,Sokoto,Tambuwal,KEBBE WEST,1449.6104410000,6597,90,296,71.599999999999994,72,78,184,108,none,none,grid,7730
